 17 Apr 09:22:31 LogHelper | logTestCaseHeader | - Test Case Start = Wed Apr 17 09:22:31 CDT 2013
 17 Apr 09:22:31 LogHelper | logTestCaseDash | - ---------------------------------------------------------------------------------
 17 Apr 09:22:31 LogHelper | logTestCaseDash | - ---------------------------------------------------------------------------------
 17 Apr 09:22:31 LogHelper | logTestCaseFooter | - Test Case Checks  = 1
 17 Apr 09:22:31 LogHelper | logTestCaseFooter | - Test Case Errors  = 1
 17 Apr 09:22:31 LogHelper | logTestCaseFooter | - Test Case Known Issues = 
 17 Apr 09:22:31 LogHelper | logTestCaseFooter | - Test Case Status  = FAIL
 17 Apr 09:22:31 LogHelper | logTestCaseFooter | - Test Case Time 	= Wed Apr 17 09:22:31 CDT 2013
 17 Apr 09:22:31 LogHelper | logTestCaseFooter | - Test Case End 	= Wed Apr 17 09:22:31 CDT 2013
 17 Apr 09:22:31 LogHelper | logTestCaseSepStar | - *********************************************************************************
 17 Apr 09:25:35 DefaultRequestDirector | tryExecute | - I/O exception (org.apache.http.NoHttpResponseException) caught when processing request: The target server failed to respond
 17 Apr 09:25:35 DefaultRequestDirector | tryExecute | - Retrying request
 17 Apr 09:25:36 LogHelper | logTestCaseSepStar | - *********************************************************************************
 17 Apr 09:25:36 LogHelper | logTestCaseHeader | - Test Case Id    = impersonatePage
 17 Apr 09:25:36 LogHelper | logTestCaseHeader | - Test Case Desc  = Validates
 17 Apr 09:25:36 LogHelper | logTestCaseHeader | - Test Case Start = Wed Apr 17 09:25:36 CDT 2013
 17 Apr 09:25:36 LogHelper | logTestCaseDash | - ---------------------------------------------------------------------------------
 17 Apr 09:25:37 LogHelper | logTestCaseDash | - ---------------------------------------------------------------------------------
 17 Apr 09:25:37 LogHelper | logTestCaseFooter | - Test Case Checks  = 1
 17 Apr 09:25:37 LogHelper | logTestCaseFooter | - Test Case Errors  = 1
 17 Apr 09:25:37 LogHelper | logTestCaseFooter | - Test Case Known Issues = 
 17 Apr 09:25:37 LogHelper | logTestCaseFooter | - Test Case Status  = FAIL
 17 Apr 09:25:37 LogHelper | logTestCaseFooter | - Test Case Time 	= Wed Apr 17 09:25:37 CDT 2013
 17 Apr 09:25:37 LogHelper | logTestCaseFooter | - Test Case End 	= Wed Apr 17 09:25:37 CDT 2013
 17 Apr 09:25:37 LogHelper | logTestCaseSepStar | - *********************************************************************************
 17 Apr 09:38:02 DefaultRequestDirector | tryExecute | - I/O exception (org.apache.http.NoHttpResponseException) caught when processing request: The target server failed to respond
 17 Apr 09:38:02 DefaultRequestDirector | tryExecute | - Retrying request
 17 Apr 09:38:03 LogHelper | logTestCaseSepStar | - *********************************************************************************
 17 Apr 09:38:03 LogHelper | logTestCaseHeader | - Test Case Id    = impersonatePage
 17 Apr 09:38:03 LogHelper | logTestCaseHeader | - Test Case Desc  = Validates
 17 Apr 09:38:03 LogHelper | logTestCaseHeader | - Test Case Start = Wed Apr 17 09:38:03 CDT 2013
 17 Apr 09:38:03 LogHelper | logTestCaseDash | - ---------------------------------------------------------------------------------
 17 Apr 09:38:28 LogHelper | logTestCaseDash | - ---------------------------------------------------------------------------------
